,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Size_Unknown,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Forecasted_Sales,Deviation,Inventory_Status
18,DRI11,12.857645184135976,0,0.034237682,113.2834,1985,2303.668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3266.430485512521,-962.7624855125209,Out of Stock
19,FDU02,13.35,0,0.10249212,230.5352,2004,2748.4224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3649.7087120890064,-901.2863120890065,Out of Stock
20,FDN22,18.85,1,0.138190277,250.8724,1987,3775.086,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4069.6044686835376,-294.5184686835378,Out of Stock
21,FDW12,12.857645184135976,1,0.035399923,144.5444,1985,4064.0432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3815.871614328301,248.17158567169918,Excess Stock
22,NCB30,14.6,0,0.025698134,196.5084,2004,1587.2672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3268.2591787508172,-1680.9919787508172,Out of Stock
23,FDC37,12.857645184135976,0,0.057556998,107.6938,1985,214.3876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-190.8588927053852,405.2464927053852,Excess Stock
24,FDR28,13.85,1,0.025896485,165.021,1997,4078.025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2673.4517498903106,1404.5732501096895,Excess Stock
25,NCD06,13.0,0,0.099887103,45.906,2007,838.908,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,822.5567311869481,16.351268813051888,Excess Stock
26,FDV10,7.645,1,0.066693437,42.3112,2004,1065.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,868.7400999036861,196.5399000963139,Excess Stock
27,DRJ59,11.65,0,0.019356132,39.1164,1987,308.9312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,748.7198323137254,-439.78863231372543,Out of Stock
28,FDE51,5.925,1,0.161466534,45.5086,1998,178.4344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1258.8474630973851,1437.2818630973852,Excess Stock
29,FDC14,12.857645184135976,1,0.072221801,43.6454,1985,125.8362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1107.4582062429029,1233.2944062429028,Excess Stock
30,FDV38,19.25,0,0.170348551,55.7956,1998,163.7868,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1198.1998724453333,1361.9866724453334,Excess Stock
31,NCS17,18.6,0,0.080829372,96.4436,2009,2741.7644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1285.0140689220275,1456.7503310779725,Excess Stock
32,FDP33,18.7,0,0.0,256.6672,2009,3068.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3813.940336622469,-745.933936622469,Out of Stock
33,FDO23,17.85,0,0.0,93.1436,2002,2174.5028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1422.690479686219,751.8123203137811,Excess Stock
34,DRH01,17.5,0,0.097904029,174.8738,1997,2085.2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2705.491135667162,-620.2055356671617,Out of Stock
35,NCX29,10.0,0,0.089291137,146.7102,1999,3791.0652,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2468.5789176079643,1322.4862823920357,Excess Stock
36,FDV20,12.857645184135976,1,0.059511812,128.0678,1985,2797.6916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3588.2184850369567,-790.5268850369566,Out of Stock
37,DRZ11,8.85,1,0.113123893,122.5388,2009,1609.9044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1706.1047265557577,-96.20032655575778,Out of Stock
38,FDX10,12.857645184135976,1,0.123111453,36.9874,1985,388.1614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2059.346346490106,-1671.184946490106,Out of Stock
39,FDB34,12.857645184135976,0,0.026480954,87.6198,1985,2180.495,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2833.4748539542816,-652.9798539542817,Out of Stock
40,FDU02,13.35,0,0.102511504,230.6352,1997,3435.528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3520.465097517671,-84.93709751767119,Out of Stock
41,FDK43,9.8,0,0.02681843,126.002,1987,2150.534,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2083.752099132584,66.78190086741597,Excess Stock
42,FDA46,13.6,0,0.117818348,192.9136,1999,2527.3768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3132.691467016296,-605.314667016296,Out of Stock
43,FDC02,21.35,0,0.069102831,259.9278,2009,6768.5228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3863.8156657391146,2904.707134260885,Excess Stock
44,FDL50,12.15,1,0.042277867,126.5046,1987,373.5138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2201.1620280005013,-1827.6482280005014,Out of Stock
45,FDM39,6.42,0,0.089498926,178.1002,1998,358.2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,797.7857996734683,-439.5853996734683,Out of Stock
46,NCP05,19.6,0,0.0,153.3024,2002,2428.8384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2421.7394517215316,7.09894827846847,Excess Stock
47,FDV49,10.0,0,0.025879577,265.2226,2002,5815.0972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4185.477121055968,1629.6200789440318,Excess Stock
48,FDL12,15.85,1,0.121632721,60.622,1997,2576.646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,996.752866242784,1579.8931337572162,Excess Stock
49,FDS02,12.857645184135976,1,0.255394896,196.8794,1985,780.3176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1091.5847970297036,-311.26719702970365,Out of Stock
50,NCL17,7.39,0,0.067779712,143.8812,1997,3134.5864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2313.6871497618913,820.8992502381088,Excess Stock
51,FDM40,10.195,0,0.159803853,141.5154,1987,850.8924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2250.8374675797304,-1399.9450675797304,Out of Stock
52,FDR13,9.895,1,0.028696932,117.0492,1987,810.9444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2062.2267438654735,-1251.2823438654736,Out of Stock
53,FDA43,10.895,0,0.065041581,196.3794,2007,3121.2704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3251.6672383156792,-130.39683831567936,Out of Stock
54,NCP18,12.15,0,0.028760013,151.4708,2007,4815.0656,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2529.7736265153635,2285.2919734846364,Excess Stock
55,FDK21,7.905,0,0.010053105,249.0408,2009,6258.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3705.3514657438386,2553.168534256162,Excess Stock
56,NCX54,9.195,0,0.048157338,106.1622,2002,2117.244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1649.4989209864975,467.7450790135026,Excess Stock
57,DRK35,8.365,0,0.071958197,38.0506,1999,796.9626,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,746.9830819941349,49.97951800586509,Excess Stock
58,FDY21,15.1,0,0.173481304,194.511,1997,4910.275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3001.5279538972763,1908.7470461027233,Excess Stock
59,FDI26,12.857645184135976,0,0.061082177,180.0344,1985,892.172,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,978.6994763896901,-86.52747638969004,Out of Stock
60,FDM20,10.0,0,0.0,246.9144,2009,3185.1872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3729.486688051729,-544.299488051729,Out of Stock
61,FDV27,7.97,1,0.040071131,87.3514,2002,1062.6168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1400.1178608065366,-337.50106080653654,Out of Stock
62,FDF09,12.857645184135976,0,0.012090074,38.2848,1985,484.7024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2116.6865538200705,-1631.9841538200703,Out of Stock
63,FDY40,12.857645184135976,1,0.15028599,51.0692,1985,147.8076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1084.3122410995452,1232.1198410995453,Excess Stock
64,FDY45,12.857645184135976,0,0.026015519,255.8356,1985,2543.356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5493.641928895861,-2950.285928895861,Out of Stock
65,FDC46,17.7,0,0.195068226,185.4266,1998,184.4266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,932.9399357523248,-748.5133357523248,Out of Stock
66,FDH19,19.35,0,0.033082215,172.5738,2004,4865.6664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2844.1464763602335,2021.5199236397666,Excess Stock
67,FDZ03,13.65,1,0.078946455,186.024,2002,1118.544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2846.559429586622,-1728.015429586622,Out of Stock
68,DRH37,17.6,0,0.041700756,164.8526,2002,2302.3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2519.4215547585163,-217.08515475851618,Out of Stock
69,NCI17,8.645,0,0.143422643,95.841,1997,2027.361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1513.1142271456233,514.2467728543768,Excess Stock
70,FDJ58,15.6,1,0.105296072,170.1764,1997,3435.528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2727.2758364741385,708.2521635258613,Excess Stock
71,FDL12,15.85,1,0.121531501,59.222,1987,599.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1063.0868357824259,-463.8668357824258,Out of Stock
72,FDH35,18.25,0,0.0,164.7526,2002,4604.6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2598.9541483762277,2005.7186516237725,Excess Stock
73,FDG02,7.855,0,0.011324862,189.6188,2007,2285.0256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3159.4369816857206,-874.4113816857207,Out of Stock
74,NCZ18,7.825,0,0.186357148,254.3698,1999,5580.7356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,4105.852345480538,1474.8832545194618,Excess Stock
75,FDC29,8.39,1,0.024205661,114.0176,1997,2290.352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1876.5151251399552,413.83687486004465,Excess Stock
76,FDQ10,12.85,0,0.033230816,172.3422,1999,1207.0954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2852.1376968139366,-1645.0422968139367,Out of Stock
77,FDN48,12.857645184135976,0,0.113720344,89.9804,1985,643.1628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-499.86263512782,1143.02543512782,Excess Stock
78,FDL04,19.0,0,0.112556507,104.9622,2007,1587.933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1696.8924245260791,-108.95942452607915,Out of Stock
79,FDV25,5.905,0,0.0,222.5456,2002,5305.0944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3530.4809158263815,1774.6134841736184,Excess Stock
80,FDD58,7.76,0,0.059352241,101.87,1997,1697.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1607.0602467279523,90.72975327204767,Excess Stock
81,FDN04,11.8,1,0.014087057,180.3344,1997,1427.4752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2924.9372669749764,-1497.4620669749763,Out of Stock
82,FDV45,16.75,0,0.045230944,187.9556,2009,4693.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2707.2533886623696,1986.6366113376307,Excess Stock
83,NCL18,12.857645184135976,0,0.293417759,194.6136,1985,583.2408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1079.0088000268224,-495.7680000268224,Out of Stock
84,FDR12,12.857645184135976,1,0.031382044,171.3764,1985,3091.9752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4242.223159445761,-1150.247959445761,Out of Stock
85,FDG20,15.5,1,0.12639886,177.0028,2007,2479.4392,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2982.601812108761,-503.1626121087611,Out of Stock
86,FDZ55,6.055,0,0.025403898,160.992,2004,2716.464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2748.853058983166,-32.38905898316625,Out of Stock
87,FDQ49,12.857645184135976,1,0.039057677,155.963,1985,3285.723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4023.8775057403227,-738.1545057403227,Out of Stock
88,FDN33,6.305,1,0.123115764,95.6436,1997,661.8052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1554.3387173979268,-892.5335173979267,Out of Stock
89,FDN27,20.85,0,0.039624006,117.2808,1999,1523.3504,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1958.6357445897597,-435.2853445897597,Out of Stock
90,FDW20,20.75,0,0.040421193,122.173,1998,369.519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,63.402992075968996,306.116007924031,Excess Stock
91,DRG27,8.895,0,0.105274111,39.9138,1999,690.4346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,635.717388887778,54.717211112222,Excess Stock
92,DRI25,19.6,0,0.033970195,55.1614,2002,1381.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,785.7159720041386,595.8190279958615,Excess Stock
93,FDA44,19.7,0,0.053212652,57.893,2004,622.523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1082.5624701068384,-460.0394701068384,Out of Stock
94,NCR17,9.8,0,0.024378706,114.5492,2004,1274.3412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1999.1917718935465,-724.8505718935464,Out of Stock
95,FDU04,12.857645184135976,0,0.009714595,120.0414,1985,487.3656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2.433742884866888,484.9318571151331,Excess Stock
96,FDF41,12.15,0,0.131383762,246.046,1999,1231.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3952.2191030689646,-2720.4891030689646,Out of Stock
